white,black,outcome,white_elo,black_elo
angelitort,alireza2003,0.0,2844,2822
alireza2003,tamojerry,1.0,2817,2700
kontrajako,alireza2003,1.0,2834,2824
alireza2003,dr_xstranger,0.0,2843,2726
riquelme93,alireza2003,0.0,2731,2838
alireza2003,angelitort,1.0,2829,2822
mitrabha,alireza2003,0.0,2686,2823
alireza2003,rasulovvugar,1.0,2807,2767
dr_xstranger,alireza2003,1.0,2693,2798
riquelme93,alireza2003,1.0,2724,2796
mitrabha,alireza2003,0.0,2702,2817
alireza2003,ohanyaneminchess,0.0,2855,2698
zhigalko_sergei,alireza2003,1.0,2781,2879
alireza2003,rebeccaharris,0.0,2873,2864
shant7777777,alireza2003,0.0,2909,2878
penguingim1,alireza2003,0.0,2737,2882
zhigalko_sergei,kostik_mostik,0.0,2727,2774
kostik_mostik,zhigalko_sergei,1.0,2793,2748
zhigalko_sergei,riquelme93,0.0,2753,2680
tamojerry,zhigalko_sergei,1.0,2711,2752
zhigalko_sergei,riquelme93,1.0,2764,2666
mitrabha,zhigalko_sergei,0.0,2723,2757
meneermandje,zhigalko_sergei,1.0,2576,2752
zhigalko_sergei,hitter1999,1.0,2736,2801
rasulovvugar,zhigalko_sergei,1.0,2790,2763
zhigalko_sergei,tamojerry,0.0,2767,2742
meneermandje,zhigalko_sergei,1.0,2576,2782
zhigalko_sergei,kontrajako,0.0,2787,2813
vladimirovich9000,zhigalko_sergei,0.0,2904,2775
tamojerry,zhigalko_sergei,0.0,2769,2769
zhigalko_sergei,meneermandje,1.0,2766,2577
kostik_mostik,zhigalko_sergei,0.5,2777,2786
kostik_mostik,zhigalko_sergei,0.0,2798,2798
ohanyaneminchess,zhigalko_sergei,0.0,2716,2770
zhigalko_sergei,tamojerry,1.0,2772,2784
zhigalko_sergei,angelitort,0.5,2785,2862
vahe_s,anishgiri,0.0,2690,2869
anishgiri,vahe_s,0.5,2878,2687
vahe_s,anishgiri,0.0,2690,2868
anishgiri,vahe_s,1.0,2857,2693
vahe_s,anishgiri,0.0,2697,2844
anishgiri,vahe_s,0.5,2853,2694
vahe_s,anishgiri,0.0,2698,2839
