white,black,outcome,white_elo,black_elo,white_id,black_id
penguingim1,shant7777777,1.0,2819,2854,18,22
angelitort,penguingim1,0.5,2828,2814,1,18
riquelme93,penguingim1,1.0,2759,2811,21,18
penguingim1,ohanyaneminchess,0.5,2814,2667,18,17
penguingim1,angelitort,0.0,2824,2816,18,1
alireza2003,shant7777777,1.0,2902,2854,0,22
alireza2003,ohanyaneminchess,1.0,2918,2711,0,17
shant7777777,alireza2003,0.0,2847,2909,22,0
alireza2003,rebeccaharris,0.0,2924,2798,0,20
zhigalko_sergei,alireza2003,0.0,2811,2916,26,0
alireza2003,penguingim1,1.0,2900,2783,0,18
shant7777777,alireza2003,1.0,2851,2915,22,0
chessmaster2006,alireza2003,0.5,2796,2909,3,0
alireza2003,ohanyaneminchess,0.0,2926,2707,0,17
tamojerry,alireza2003,0.0,2616,2921,23,0
alireza2003,angelitort,1.0,2906,2845,0,1
night-king96,alireza2003,1.0,2891,2857,15,0
angelitort,alireza2003,0.5,2845,2846,1,0
mitrabha,alireza2003,0.0,2719,2841,14,0
alireza2003,night-king96,1.0,2832,2887,0,15
angelitort,alireza2003,0.0,2844,2822,1,0
alireza2003,tamojerry,1.0,2817,2700,0,23
kontrajako,alireza2003,1.0,2834,2824,9,0
alireza2003,dr_xstranger,0.0,2843,2726,0,5
riquelme93,alireza2003,0.0,2731,2838,21,0
alireza2003,angelitort,1.0,2829,2822,0,1
mitrabha,alireza2003,0.0,2686,2823,14,0
alireza2003,rasulovvugar,1.0,2807,2767,0,19
dr_xstranger,alireza2003,1.0,2693,2798,5,0
riquelme93,alireza2003,1.0,2724,2796,21,0
mitrabha,alireza2003,0.0,2702,2817,14,0
alireza2003,ohanyaneminchess,0.0,2855,2698,0,17
zhigalko_sergei,alireza2003,1.0,2781,2879,26,0
alireza2003,rebeccaharris,0.0,2873,2864,0,20
shant7777777,alireza2003,0.0,2909,2878,22,0
penguingim1,alireza2003,0.0,2737,2882,18,0
zhigalko_sergei,kostik_mostik,0.0,2727,2774,26,10
kostik_mostik,zhigalko_sergei,1.0,2793,2748,10,26
zhigalko_sergei,riquelme93,0.0,2753,2680,26,21
tamojerry,zhigalko_sergei,1.0,2711,2752,23,26
zhigalko_sergei,riquelme93,1.0,2764,2666,26,21
mitrabha,zhigalko_sergei,0.0,2723,2757,14,26
meneermandje,zhigalko_sergei,1.0,2576,2752,13,26
zhigalko_sergei,hitter1999,1.0,2736,2801,26,8
rasulovvugar,zhigalko_sergei,1.0,2790,2763,19,26
zhigalko_sergei,tamojerry,0.0,2767,2742,26,23
meneermandje,zhigalko_sergei,1.0,2576,2782,13,26
zhigalko_sergei,kontrajako,0.0,2787,2813,26,9
vladimirovich9000,zhigalko_sergei,0.0,2904,2775,25,26
tamojerry,zhigalko_sergei,0.0,2769,2769,23,26
zhigalko_sergei,meneermandje,1.0,2766,2577,26,13
kostik_mostik,zhigalko_sergei,0.5,2777,2786,10,26
kostik_mostik,zhigalko_sergei,0.0,2798,2798,10,26
ohanyaneminchess,zhigalko_sergei,0.0,2716,2770,17,26
zhigalko_sergei,tamojerry,1.0,2772,2784,26,23
zhigalko_sergei,angelitort,0.5,2785,2862,26,1
vahe_s,anishgiri,0.0,2690,2869,24,2
anishgiri,vahe_s,0.5,2878,2687,2,24
vahe_s,anishgiri,0.0,2690,2868,24,2
anishgiri,vahe_s,1.0,2857,2693,2,24
vahe_s,anishgiri,0.0,2697,2844,24,2
anishgiri,vahe_s,0.5,2853,2694,2,24
vahe_s,anishgiri,0.0,2698,2839,24,2
anishgiri,vahe_s,1.0,2822,2702,2,24
vahe_s,anishgiri,1.0,2694,2860,24,2
anishgiri,vahe_s,1.0,2843,2697,2,24
vahe_s,anishgiri,0.5,2695,2856,24,2
vahe_s,anishgiri,0.0,2696,2851,24,2
anishgiri,vahe_s,0.5,2869,2693,2,24
anishgiri,feokl1995,0.0,2788,2706,2,7
anishgiri,vladimirovich9000,1.0,2779,2730,2,25
rasulovvugar,anishgiri,0.0,2636,2772,19,2
rasulovvugar,anishgiri,0.0,2633,2759,19,2
feokl1995,anishgiri,1.0,2723,2783,7,2
rasulovvugar,anishgiri,0.0,2645,2759,19,2
anishgiri,hitter1999,1.0,2750,2575,2,8
anishgiri,hitter1999,1.0,2771,2554,2,8
